date;real_TR;dividend_yield;earnings_yield;inflation_1yr;inflation_2yr;inflation_5yr;inflation_10yr;ln_CAPE5;ln_CAPE10;ln_TR_CAPE;excess_CAPE_yield;sqrt_excess_CAPE_yield;detrended;detrended_off1yr;detrended_off2yr;detrended_off5yr;detrended_off7yr;detrended_off10yr;detrended_SMA_1yr;detrended_SMA_2yr;detrended_SMA_5yr;detrended_SMA_10yr;detrended_SMA_avg;detrended_BB_1yr;detrended_BB_2yr;detrended_BB_5yr;detrended_BB_10yr;detrended_BB_avg;detrended_plus_slope_1yr;detrended_plus_slope_2yrs;detrended_plus_slope_5yrs;detrended_sqr;detrended_sqr_off1yr;detrended_sqr_off2yr;detrended_sqr_off5yr;detrended_sqr_off7yr;detrended_sqr_off10yr;detrended_cutoff_hi_03;detrended_cutoff_low_03;return_avg_normalized;stdev_avg_normalized;TR_max;TR_max_off_m1yr;TR_max_off_m2yr;TR_max_off_m5yr;TR_max_off1yr;TR_max_off2yr;TR_max_off5yr;TR_max_off7yr;TR_max_off10yr;TR_min;TR_ratio;time_since_max;nominal_interest_rate_10yr;real_interest_rate_10yr;real_return_1yr;real_return_2yr;real_return_3yr;real_return_5yr;real_return_7yr;real_return_avg_1_7yrs;real_return_9yr;real_return_10yr;real_return_11yr;real_return_12yr;real_return_13yr;real_return_15yr;real_return_min;real_return_avg_9_15yrs;real_return_max;real_return_sd;real_return_20yr;real_return_25yr;real_return_6mth_cutoff_m12pc;real_return_1yr_cutoff_m20pc;real_return_10yr_cutoff_2pc;SMA_real_return_10yr_cutoff_m10pc;real_return_10yr_cutoff_11pc;SMA_real_return_10yr_cutoff_75pc;SMA_real_return_15yr_cutoff_150pc;curv_1yr;curv_2yr;curv_5yr;curv_avg;sd_6mo;sd_1yr;sd_2yr;sd_5yr;sd_10yr;sd_15yr;sd_avg;BB_6mo;BB_1yr;BB_2yr;BB_5yr;BB_avg;SMA_1yr_2yr;SMA_1yr_5yr;SMA_2yr_5yr;SMA_ratio_avg;future_real_return_1yr;future_real_return_2yr;future_real_return_3yr;future_real_return_5yr;future_real_return_7yr;future_real_return_avg_1_7yrs;future_real_return_9yr;future_real_return_10yr;future_real_return_11yr;future_real_return_12yr;future_real_return_13yr;future_real_return_15yr;future_real_return_avg_9_15yrs;future_real_return_20yr;future_real_return_25yr;future_TR_ratio_1yr;future_TR_ratio_2yr;future_TR_ratio_5yr
1871.04;1.000;0.0586;0.0901;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.249;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.062;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.988;#N/A;#N/A;0.0532;0.0379;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.11;0.11;0.07;0.09;0.06;0.05;0.11;0.12;0.11;0.11;0.10;0.10;0.11;0.08;0.08;#N/A;#N/A;#N/A
1871.13;0.988;0.0578;0.0889;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.266;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.071;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0532;0.0380;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.15;0.12;0.09;0.10;0.07;0.07;0.11;0.13;0.11;0.11;0.10;0.11;0.11;0.09;0.08;#N/A;#N/A;1.36
1871.21;1.002;0.0564;0.0868;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.257;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.066;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0533;0.0380;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.15;0.11;0.09;0.10;0.07;0.06;0.11;0.13;0.11;0.10;0.10;0.11;0.11;0.09;0.08;#N/A;#N/A;1.38
1871.29;1.074;0.0549;0.0844;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.193;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.037;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0533;0.0380;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.09;0.07;0.07;0.09;0.06;0.11;0.10;0.12;0.10;0.10;0.10;0.10;0.10;0.08;0.08;#N/A;#N/A;1.39
1871.38;1.132;0.0535;0.0823;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.146;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.021;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.959;#N/A;#N/A;0.0533;0.0381;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.05;0.04;0.04;0.07;0.06;0.13;0.10;0.12;0.10;0.10;0.09;0.10;0.10;0.08;0.08;#N/A;#N/A;1.39
1871.46;1.146;0.0539;0.0830;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.140;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.019;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.947;#N/A;#N/A;0.0534;0.0381;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.09;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.78;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;0.04;0.04;0.07;0.07;0.16;0.09;0.12;0.09;0.10;0.08;0.10;0.10;0.08;0.08;#N/A;#N/A;1.39
1871.54;1.130;0.0550;0.0846;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.159;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.025;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.961;#N/A;#N/A;0.0534;0.0381;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.09;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.06;0.06;0.05;0.08;0.08;0.17;0.10;0.12;0.09;0.10;0.08;0.10;0.10;0.08;0.08;#N/A;#N/A;1.40
1871.63;1.167;0.0543;0.0835;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.132;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.017;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.930;#N/A;#N/A;0.0534;0.0382;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.08;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.37;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;0.05;0.04;0.07;0.07;0.15;0.10;0.12;0.10;0.10;0.08;0.10;0.10;0.08;0.07;#N/A;#N/A;1.40
1871.71;1.157;0.0537;0.0826;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.146;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.021;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.938;#N/A;#N/A;0.0535;0.0382;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.98;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.03;0.05;0.05;0.06;0.07;0.13;0.11;0.11;0.10;0.10;0.09;0.10;0.10;0.08;0.07;#N/A;#N/A;1.40
1871.79;1.086;0.0566;0.0871;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.215;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.046;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0535;0.0382;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-2.50;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.08;0.05;0.08;0.06;0.08;0.14;0.11;0.12;0.11;0.10;0.09;0.11;0.11;0.09;0.08;#N/A;#N/A;1.40
1871.88;1.103;0.0560;0.0862;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.205;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.042;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0535;0.0383;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-1.28;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.09;0.01;0.08;0.05;0.08;0.14;0.11;0.11;0.11;0.10;0.09;0.11;0.11;0.09;0.08;#N/A;#N/A;1.40
1871.96;1.106;0.0549;0.0844;0.015;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.207;#N/A;#N/A;#N/A;#N/A;#N/A;-0.228;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.174;#N/A;#N/A;-0.043;#N/A;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1.000;#N/A;#N/A;0.0536;0.0383;0.11;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;0.06;#N/A;#N/A;#N/A;#N/A;#N/A;-0.82;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.06;0.01;0.09;0.05;0.08;0.15;0.12;0.11;0.10;0.10;0.09;0.11;0.11;0.09;0.08;#N/A;#N/A;1.40
1872.04;1.139;0.0542;0.0828;-0.015;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.183;-0.249;#N/A;#N/A;#N/A;#N/A;-0.224;#N/A;#N/A;#N/A;#N/A;0.10;#N/A;#N/A;#N/A;#N/A;-0.163;#N/A;#N/A;-0.033;-0.062;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.987;#N/A;#N/A;0.0536;0.0684;0.15;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;0.05;#N/A;#N/A;#N/A;#N/A;#N/A;0.55;0.64;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.07;0.03;0.07;0.04;0.08;0.15;0.12;0.11;0.10;0.10;0.09;0.11;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.13;1.149;0.0547;0.0830;-0.029;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.180;-0.266;#N/A;#N/A;#N/A;#N/A;-0.218;#N/A;#N/A;#N/A;#N/A;0.01;#N/A;#N/A;#N/A;#N/A;-0.179;#N/A;#N/A;-0.032;-0.071;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.978;#N/A;#N/A;0.0538;0.0830;0.15;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.04;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;1.26;0.72;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.08;0.05;0.07;0.03;0.09;0.16;0.13;0.11;0.10;0.10;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.21;1.174;0.0536;0.0809;0.023;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.163;-0.257;#N/A;#N/A;#N/A;#N/A;-0.178;#N/A;#N/A;#N/A;#N/A;0.32;#N/A;#N/A;#N/A;#N/A;-0.180;#N/A;#N/A;-0.027;-0.066;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.957;#N/A;#N/A;0.0540;0.0312;0.09;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;-0.14;#N/A;#N/A;#N/A;0.04;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;2.04;1.38;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.05;0.06;0.07;0.02;0.09;0.17;0.12;0.10;0.10;0.10;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.29;1.186;0.0528;0.0792;0.070;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.159;-0.193;#N/A;#N/A;#N/A;#N/A;-0.152;#N/A;#N/A;#N/A;#N/A;0.38;#N/A;#N/A;#N/A;#N/A;-0.178;#N/A;#N/A;-0.025;-0.037;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.948;#N/A;#N/A;0.0542;-0.0156;0.05;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;-0.07;#N/A;#N/A;#N/A;0.04;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;1.78;1.53;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.03;0.05;0.07;0.02;0.09;0.17;0.13;0.10;0.10;0.10;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.38;1.191;0.0534;0.0796;0.087;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.160;-0.146;#N/A;#N/A;#N/A;#N/A;-0.150;#N/A;#N/A;#N/A;#N/A;0.40;#N/A;#N/A;#N/A;#N/A;-0.170;#N/A;#N/A;-0.025;-0.021;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.944;#N/A;#N/A;0.0543;-0.0323;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;0.02;#N/A;#N/A;#N/A;0.04;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;1.46;1.39;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.02;0.04;0.07;0.00;0.09;0.19;0.12;0.10;0.10;0.09;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.46;1.194;0.0546;0.0809;0.079;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.163;-0.140;#N/A;#N/A;#N/A;#N/A;-0.161;#N/A;#N/A;#N/A;#N/A;0.37;#N/A;#N/A;#N/A;#N/A;-0.163;#N/A;#N/A;-0.027;-0.019;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.942;#N/A;#N/A;0.0545;-0.0242;0.06;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;0.10;#N/A;#N/A;#N/A;0.03;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;1.32;1.24;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.05;0.03;0.07;0.00;0.10;0.20;0.13;0.10;0.10;0.09;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.54;1.210;0.0555;0.0819;0.080;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.155;-0.159;#N/A;#N/A;#N/A;#N/A;-0.143;#N/A;#N/A;#N/A;#N/A;0.67;#N/A;#N/A;#N/A;#N/A;-0.148;#N/A;#N/A;-0.024;-0.025;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.929;#N/A;#N/A;0.0547;-0.0253;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;0.09;#N/A;#N/A;#N/A;0.02;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;1.77;1.37;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.05;0.04;0.07;-0.01;0.10;0.20;0.13;0.09;0.10;0.08;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.40
1872.63;1.192;0.0569;0.0833;0.062;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.175;-0.132;#N/A;#N/A;#N/A;#N/A;-0.160;#N/A;#N/A;#N/A;#N/A;0.05;#N/A;#N/A;#N/A;#N/A;-0.157;#N/A;#N/A;-0.030;-0.017;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.943;#N/A;#N/A;0.0549;-0.0076;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;0.07;#N/A;#N/A;#N/A;0.01;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;0.15;0.85;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.07;0.05;0.07;0.00;0.11;0.20;0.13;0.10;0.11;0.09;0.09;0.10;0.10;0.09;0.08;#N/A;#N/A;1.34
1872.71;1.168;0.0586;0.0854;0.054;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.200;-0.146;#N/A;#N/A;#N/A;#N/A;-0.208;#N/A;#N/A;#N/A;#N/A;-0.94;#N/A;#N/A;#N/A;#N/A;-0.180;#N/A;#N/A;-0.040;-0.021;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.962;#N/A;#N/A;0.0551;0.0012;0.08;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;0.03;#N/A;#N/A;#N/A;0.02;0.04;#N/A;#N/A;#N/A;#N/A;#N/A;-2.31;0.24;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.10;0.07;0.08;0.03;0.11;0.19;0.13;0.11;0.10;0.09;0.10;0.10;0.11;0.09;0.08;#N/A;#N/A;1.20
1872.79;1.205;0.0590;0.0855;0.031;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.175;-0.215;#N/A;#N/A;#N/A;#N/A;-0.190;#N/A;#N/A;#N/A;#N/A;0.12;#N/A;#N/A;#N/A;#N/A;-0.163;#N/A;#N/A;-0.031;-0.046;#N/A;#N/A;#N/A;#N/A;0.000;0.000;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.933;#N/A;#N/A;0.0553;0.0245;0.09;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.00;0.00;#N/A;#N/A;#N/A;#N/A;#N/A;-0.01;#N/A;#N/A;#N/A;0.02;0.03;#N/A;#N/A;#N/A;#N/A;#N/A;1.15;1.02;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0.01;0.06;0.07;0.04;0.11;0.19;0.12;0.11;0.10;0.09;0.10;0.10;0.10;0.09;0.08;#N/A;#N/A;1.11
